,Brand,Model,Variant,Year_of_Manufacturing,Transmission Type,Fuel Type,Kilometers Driven,No of Owners,Price,Location
1359,Maruti Suzuki,Alto,,2006,Manual,Petrol,"73,000 km",1st,"85,000",kerala
1360,Maruti Suzuki,Ertiga,,2013,Manual,Diesel,"116,320 km",2nd,"4,75,000",kerala
1361,Maruti Suzuki,Vitara Brezza,,2017,Manual,Diesel,"16,500 km",1st,"8,25,000",kerala
1362,Maruti Suzuki,Alto 800,,2018,Manual,Petrol,"38,650 km",1st,"3,15,000",kerala
1363,Hyundai,Santro Xing,,2010,Manual,Petrol,"76,656 km",3rd,"1,99,000",kerala
1364,Maruti Suzuki,Wagon R,,2004,Manual,Petrol,"74,600 km",3rd,"1,00,000",kerala
1365,Mahindra,Scorpio,,2007,Manual,Diesel,"144,000 km",2nd,"2,40,000",kerala
1366,Chevrolet,Aveo,,2006,Automatic,Petrol,"88,000 km",1st,"1,10,000",kerala
1367,Volkswagen,Ameo,,2017,Automatic,Diesel,"45,000 km",1st,"7,50,000",kerala
1368,Maruti Suzuki,Wagon R,,2009,Manual,Petrol,0 km,-,"1,50,000",kerala
1369,Maruti Suzuki,Ignis,,2019,Automatic,Petrol,"17,000 km",1st,"6,00,000",kerala
1370,Ford,Ecosport,,2014,Manual,Diesel,"90,000 km",1st,"5,10,000",kerala
1371,Audi,A6,,2016,Automatic,Diesel,"55,555 km",-,"25,000",kerala
1372,Toyota,Fortuner,,2011,Manual,Diesel,"250,000 km",2nd,"11,50,000",kerala
1373,Toyota,Fortuner,,2012,Automatic,Diesel,"65,000 km",2nd,"16,50,000",kerala
1374,Maruti Suzuki,Zen,,1997,Manual,Petrol,"92,545 km",3rd,"43,000",kerala
1375,Maruti Suzuki,Swift,,2015,Manual,Petrol,"92,000 km",1st,"4,90,000",kerala
1376,Maruti Suzuki,Zen,,2002,Automatic,Petrol,"59,639 km",2nd,"68,500",kerala
